season,date,home,away,link,stats_link
2018-19,Sunday 17th February,Villarreal,Sevilla,https://www.skysports.com/football/villarreal-vs-sevilla/399543,https://www.skysports.com/football/villarreal-vs-sevilla/stats/399543
2018-19,Sunday 17th February,Real Betis,Alaves,https://www.skysports.com/football/real-betis-vs-alaves/399539,https://www.skysports.com/football/real-betis-vs-alaves/stats/399539
2018-19,Saturday 16th February,Celta Vigo,Levante,https://www.skysports.com/football/celta-vigo-vs-levante/399535,https://www.skysports.com/football/celta-vigo-vs-levante/stats/399535
2018-19,Saturday 16th February,Rayo Vallecano,Atletico Madrid,https://www.skysports.com/football/rayo-vallecano-vs-atletico-madrid/399538,https://www.skysports.com/football/rayo-vallecano-vs-atletico-madrid/stats/399538
2018-19,Saturday 16th February,Real Sociedad,Leganes,https://www.skysports.com/football/real-sociedad-vs-leganes/399541,https://www.skysports.com/football/real-sociedad-vs-leganes/stats/399541
2018-19,Saturday 16th February,Barcelona,Real Valladolid,https://www.skysports.com/football/barcelona-vs-real-valladolid/399534,https://www.skysports.com/football/barcelona-vs-real-valladolid/stats/399534
2018-19,Friday 15th February,Eibar,Getafe,https://www.skysports.com/football/eibar-vs-getafe/399536,https://www.skysports.com/football/eibar-vs-getafe/stats/399536
2018-19,Monday 11th February,Alaves,Levante,https://www.skysports.com/football/alaves-vs-levante/399524,https://www.skysports.com/football/alaves-vs-levante/stats/399524
2018-19,Sunday 10th February,Leganes,Real Betis,https://www.skysports.com/football/leganes-vs-real-betis/399530,https://www.skysports.com/football/leganes-vs-real-betis/stats/399530
2018-19,Sunday 10th February,Valencia,Real Sociedad,https://www.skysports.com/football/valencia-vs-real-sociedad/399533,https://www.skysports.com/football/valencia-vs-real-sociedad/stats/399533
2018-19,Sunday 10th February,Sevilla,Eibar,https://www.skysports.com/football/sevilla-vs-eibar/399532,https://www.skysports.com/football/sevilla-vs-eibar/stats/399532
2018-19,Sunday 10th February,Athletic Bilbao,Barcelona,https://www.skysports.com/football/athletic-bilbao-vs-barcelona/399525,https://www.skysports.com/football/athletic-bilbao-vs-barcelona/stats/399525
2018-19,Saturday 9th February,Getafe,Celta Vigo,https://www.skysports.com/football/getafe-vs-celta-vigo/399528,https://www.skysports.com/football/getafe-vs-celta-vigo/stats/399528
2018-19,Saturday 9th February,Atletico Madrid,Real Madrid,https://www.skysports.com/football/atletico-madrid-vs-real-madrid/399526,https://www.skysports.com/football/atletico-madrid-vs-real-madrid/stats/399526
2018-19,Saturday 9th February,Espanyol,Rayo Vallecano,https://www.skysports.com/football/espanyol-vs-rayo-vallecano/399527,https://www.skysports.com/football/espanyol-vs-rayo-vallecano/stats/399527
2018-19,Saturday 9th February,Girona,SD Huesca,https://www.skysports.com/football/girona-vs-sd-huesca/399529,https://www.skysports.com/football/girona-vs-sd-huesca/stats/399529
2018-19,Friday 8th February,Real Valladolid,Villarreal,https://www.skysports.com/football/real-valladolid-vs-villarreal/399531,https://www.skysports.com/football/real-valladolid-vs-villarreal/stats/399531
2018-19,Monday 4th February,Rayo Vallecano,Leganes,https://www.skysports.com/football/rayo-vallecano-vs-leganes/399519,https://www.skysports.com/football/rayo-vallecano-vs-leganes/stats/399519
2018-19,Sunday 3rd February,Villarreal,Espanyol,https://www.skysports.com/football/villarreal-vs-espanyol/399523,https://www.skysports.com/football/villarreal-vs-espanyol/stats/399523
2018-19,Sunday 3rd February,Real Betis,Atletico Madrid,https://www.skysports.com/football/real-betis-vs-atletico-madrid/399520,https://www.skysports.com/football/real-betis-vs-atletico-madrid/stats/399520
2018-19,Sunday 3rd February,Eibar,Girona,https://www.skysports.com/football/eibar-vs-girona/399516,https://www.skysports.com/football/eibar-vs-girona/stats/399516
2018-19,Sunday 3rd February,Real Madrid,Alaves,https://www.skysports.com/football/real-madrid-vs-alaves/399521,https://www.skysports.com/football/real-madrid-vs-alaves/stats/399521
2018-19,Saturday 2nd February,Levante,Getafe,https://www.skysports.com/football/levante-vs-getafe/399518,https://www.skysports.com/football/levante-vs-getafe/stats/399518
2018-19,Saturday 2nd February,Real Sociedad,Athletic Bilbao,https://www.skysports.com/football/real-sociedad-vs-athletic-bilbao/399522,https://www.skysports.com/football/real-sociedad-vs-athletic-bilbao/stats/399522
2018-19,Saturday 2nd February,Barcelona,Valencia,https://www.skysports.com/football/barcelona-vs-valencia/399514,https://www.skysports.com/football/barcelona-vs-valencia/stats/399514
2018-19,Saturday 2nd February,Celta Vigo,Sevilla,https://www.skysports.com/football/celta-vigo-vs-sevilla/399515,https://www.skysports.com/football/celta-vigo-vs-sevilla/stats/399515
