draw_bet365_probs,season,fulltime_result,date,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.38,2017_2018,1,2017-09-23,1,Malaga,0,0,0.34,1878,50,11,2,6,3,83,1,9,0,62,50,6,10,9,1,0,2.2,1,0,0.28,2044,56,12,7,5,0,81,1,6,3,68,55,7,12,11,0,0,1.9,0,0,-0.12,-2,16,2,-2,4,0,8,1,5,0,0,-11,3,-5,1,-1,0,0.20000000000000007,0.04999999999999999,1,0,0.09000000000000002,-13,11,1,2,2,-3,3,0,0,1,1,-4,5,-7,-1,-3,0,0.8
0.37,2017_2018,0,2017-09-24,1,Eibar,1,0,0.25,1947,39,13,4,6,3,78,2,8,2,65,66,4,9,4,2,0,1.1,1,1,0.38,1935,66,8,4,3,1,82,1,3,5,84,56,2,9,20,2,0,1.2,0,0,0.35,5,-17,3,0,2,1,13,2,0,-3,3,21,2,-6,-15,0,0,0.8,0.030000000000000027,0,1,-0.18,-7,1,-3,3,-3,-3,-2,-1,-2,2,4,2,1,-5,10,-2,0,-0.5000000000000001
0.37,2017_2018,2,2017-09-24,1,Espanyol,0,0,0.21,1949,45,10,3,7,0,74,2,5,0,75,56,5,10,15,2,0,2.7,1,1,0.42,1857,57,15,3,9,3,80,3,5,2,82,48,3,16,18,0,0,1.6,-2,-2,0.25,7,10,1,0,4,-3,1,1,2,-2,-9,11,5,-2,2,1,0,0.19999999999999996,-0.03999999999999998,0,0,-0.25,-7,19,3,0,4,-1,4,3,1,-2,18,4,-2,-3,6,-3,0,1.2
0.36,2017_2018,2,2017-09-24,1,Getafe,1,0,0.33,1854,33,10,3,3,4,65,1,2,5,55,43,3,21,8,4,0,2.3,0,0,0.31,2046,54,14,5,7,2,81,2,5,0,44,43,3,17,10,5,0,1.1,0,-1,-0.13999999999999996,-2,3,-3,-1,-4,2,-3,1,-1,1,-9,-30,0,6,-6,2,0,-0.19999999999999996,0.010000000000000009,-3,-1,-0.12000000000000002,18,2,-2,-1,3,-4,-3,1,2,-3,-40,1,1,-8,-2,3,0,-0.6000000000000001
0.36,2017_2018,0,2017-09-24,1,Las Palmas,0,0,0.23,1876,40,7,0,6,1,78,0,0,1,68,40,8,8,21,2,0,0.7,0,0,0.42,1834,58,12,1,7,4,72,0,6,6,63,56,0,19,18,2,0,1.6,-1,0,0.23000000000000004,13,-14,-5,-3,-2,0,0,-1,-7,0,5,0,3,-4,2,0,0,-0.6,-0.040000000000000036,0,0,-0.19,-5,15,7,-1,6,2,20,0,5,1,-1,2,-3,-1,3,-3,0,0.3
0.39,2017_2018,0,2017-09-24,1,Real Sociedad,0,0,0.26,2028,67,13,3,9,1,85,0,6,5,80,59,6,11,12,0,1,1.1,5,1,0.35,1968,49,16,11,2,3,82,4,4,2,69,50,2,9,10,0,0,1.8,-1,-1,-0.20999999999999996,-6,17,3,-2,4,1,0,0,2,5,24,0,2,-1,-3,-3,1,0.19999999999999996,0.0,4,0,-0.14,1,-4,3,6,-4,1,3,2,1,-4,-8,-6,1,-2,-11,-1,0,1.3
0.36,2017_2018,2,2017-09-25,1,Real Betis,1,0,0.19,1886,40,12,4,5,3,82,2,3,4,80,54,7,11,13,3,0,2.2,3,1,0.46,1896,32,13,9,3,1,67,1,3,1,75,40,3,13,11,2,0,0.4,-1,-1,0.42,7,-21,-5,-3,0,-2,-2,-1,-3,3,21,-1,5,-2,-6,1,0,-1.5,0.0,2,0,0.0,-1,-14,4,7,1,-4,-6,1,2,-1,25,-2,-1,-8,0,0,0,0.9999999999999999
0.33,2017_2018,1,2017-09-29,1,Celta Vigo,4,3,0.15,1960,50,11,6,3,2,70,2,4,3,66,27,0,5,13,1,0,2.3,0,0,0.52,1808,39,13,2,8,3,77,1,9,4,76,56,4,21,5,3,0,1.4,3,2,0.2,-5,-16,3,2,0,1,-11,1,1,-2,-17,-29,-2,-4,-7,-1,0,0.6,0.010000000000000009,0,0,0.21000000000000002,4,-2,3,2,1,0,14,-1,6,2,4,13,3,1,-14,0,0,-0.5
0.37,2017_2018,2,2017-09-30,1,Deportivo La Coruna,1,0,0.25,1848,62,21,6,10,5,85,2,6,1,73,55,2,7,16,1,0,2.3,4,0,0.38,1878,39,17,8,8,1,67,2,7,6,71,50,1,11,16,1,0,1.3,0,-1,0.21999999999999997,9,5,6,3,1,2,4,-1,1,-1,-9,6,-1,-9,-2,1,0,-0.09999999999999987,0.02999999999999997,3,0,-0.12,5,6,7,5,5,-3,2,1,5,1,15,6,-2,-10,8,-3,0,1.4999999999999998
0.29,2017_2018,1,2017-09-30,1,Leganes,2,0,0.59,1855,29,9,3,3,3,72,2,2,3,63,53,3,15,10,3,0,0.4,2,0,0.12,2219,38,13,4,4,5,78,1,7,2,73,47,0,11,17,4,0,1.1,2,0,0.18,-4,-28,-3,2,-4,-1,0,2,-4,-3,0,-3,3,-4,-8,1,0,1.0,0.010000000000000009,0,0,-0.12,8,-5,-3,-5,-1,3,-1,-3,7,0,-1,3,-6,-1,5,2,0,-0.9000000000000001
0.36,2017_2018,0,2017-09-30,1,Levante,0,0,0.19,1882,31,8,1,6,1,76,0,3,2,66,44,2,5,9,0,0,1.1,1,1,0.46,1914,32,8,3,3,2,74,0,5,2,70,50,5,19,19,5,0,2.2,-3,-1,0.09000000000000002,21,0,-5,-8,3,0,9,-1,0,1,-8,3,-1,-8,-2,-2,0,-1.5,-0.010000000000000009,1,1,0.2,-9,-9,0,0,-1,1,-2,0,3,-4,27,-1,3,0,3,3,0,0.29999999999999993
