draw_bet365_probs,date,season,fulltime_result,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.36,2017-10-29,2017_2018,1,0,Levante,1,0,0.44,1883,51,5,1,2,2,72,1,3,1,72,63,4,18,16,1,0,1.0,0,0,0.2,1897,41,9,2,7,0,81,0,2,5,66,37,5,7,9,1,0,1.6,1,0,-0.20999999999999996,5,9,-8,-2,-6,0,4,0,-1,1,-4,27,-1,5,8,-2,0,-0.4,0.010000000000000009,0,0,0.44000000000000006,-4,-13,-3,-1,2,-4,4,0,-8,0,-4,-21,3,-2,-1,-1,0,-0.3
0.38,2017-10-30,2017_2018,0,0,Real Betis,2,1,0.38,1907,68,12,5,6,1,90,2,6,1,76,28,3,18,9,2,0,0.4,1,1,0.24,1956,38,4,1,1,2,73,1,1,1,72,43,4,15,11,4,0,0.9,-1,1,-0.14999999999999997,-18,10,-1,-1,0,0,3,0,-1,-4,26,-25,0,7,0,1,0,-1.8,-0.050000000000000044,1,1,0.23999999999999996,-5,-20,-17,-5,-8,-4,-4,-1,-8,-4,12,-20,1,6,-2,2,0,-1.9
0.38,2017-10-30,2017_2018,2,0,Deportivo La Coruna,1,0,0.39,1823,60,15,6,6,3,82,2,9,5,64,26,4,9,14,3,0,1.7,0,0,0.22,1853,49,16,5,8,3,83,0,6,1,72,50,6,9,14,5,0,0.6,1,0,-0.18999999999999997,4,16,7,4,0,3,10,1,8,4,-4,-14,0,-2,7,1,0,1.7999999999999998,-0.020000000000000018,-2,0,0.28,-18,-9,-8,-6,-2,0,-2,-3,-8,-1,22,-4,4,-4,2,3,0,-1.2000000000000002
0.38,2017-11-03,2017_2018,1,0,Getafe,2,0,0.41,1871,44,10,5,2,3,70,2,8,6,84,36,3,19,16,3,0,0.8,0,0,0.22,1901,60,9,4,1,4,84,0,3,0,88,20,3,17,10,5,0,1.3,1,0,-0.07999999999999996,-9,-4,1,0,0,1,2,1,6,1,15,0,3,3,-1,0,0,1.4000000000000001,0.030000000000000027,-2,-1,0.24,20,-7,-3,-1,-5,3,-5,-2,-3,-1,11,-7,0,-1,1,3,0,-0.4
0.36,2017-11-04,2017_2018,0,0,Sevilla,2,1,0.58,2055,61,9,5,3,1,81,1,5,4,47,42,0,16,18,0,0,0.6,2,1,0.06,2330,60,17,5,5,7,82,2,4,5,52,51,5,12,14,4,0,2.1,2,1,-0.26999999999999996,-9,13,-8,0,-3,-5,2,1,-5,-1,-12,-6,-4,-5,3,-4,0,0.8999999999999999,-0.07,0,0,0.08,3,-4,5,1,0,4,-7,0,0,3,-27,-1,0,2,4,3,0,0.8000000000000003
0.35,2017-11-04,2017_2018,0,0,Leganes,1,0,0.53,1898,38,10,1,5,4,62,0,6,0,73,57,3,19,15,3,0,1.2,2,1,0.12,2042,55,7,2,3,2,78,0,4,1,83,55,5,18,17,1,0,2.2,0,0,0.26,21,0,-6,-3,-2,-1,-5,-2,1,-3,23,13,2,4,-1,0,0,0.09999999999999987,-0.019999999999999962,-2,0,-0.04999999999999999,24,3,-11,-6,-2,-3,-3,-3,-3,1,-8,4,0,3,-3,-1,0,-1.2000000000000002
0.38,2017-11-05,2017_2018,0,0,Athletic Bilbao,0,0,0.38,2003,39,17,5,8,4,78,2,6,6,45,48,3,15,12,1,0,0.9,1,0,0.23,1966,64,10,2,4,4,84,2,1,4,64,65,1,12,20,3,0,1.0,0,0,0.16000000000000003,-11,-22,10,4,3,3,0,1,3,4,-28,-7,0,-1,-3,-3,0,0.40000000000000013,0.0,1,0,-0.18,5,-2,-9,-6,-2,-1,-1,2,-4,3,-12,1,0,-1,1,0,0,0.09999999999999987
0.39,2017-11-05,2017_2018,0,0,Las Palmas,1,1,0.57,1833,62,13,5,6,2,86,1,8,2,66,45,2,11,15,1,0,0.2,1,1,0.03,2347,61,14,6,5,3,84,1,7,4,81,50,2,11,21,1,0,2.2,1,1,-0.33000000000000007,17,13,-3,0,-2,-1,2,1,2,1,-6,-5,-4,2,1,-4,0,-0.30000000000000004,0.04999999999999999,-2,-1,0.04000000000000001,1,3,-1,-1,0,0,-1,-2,2,0,9,-12,-1,2,14,0,0,0.10000000000000009
0.4,2017-11-17,2017_2018,1,0,Real Sociedad,3,2,0.27,2021,51,10,6,4,0,80,3,3,5,66,42,4,10,15,0,0,1.4,2,0,0.33,1837,51,10,5,5,0,80,3,2,2,85,53,3,16,9,4,0,1.2,2,1,-0.19,-9,-4,-5,2,-2,-5,1,1,-4,2,-20,-21,1,-6,-4,-2,0,1.2,-0.030000000000000027,0,0,-0.21000000000000008,19,12,-5,1,-3,-3,0,1,0,1,20,3,-1,-5,0,2,0,-0.7000000000000002
0.33,2017-11-18,2017_2018,2,0,Barcelona,2,1,0.08,2332,52,18,6,8,4,85,2,3,2,75,33,2,10,12,1,0,2.6,0,0,0.59,1891,42,13,6,3,4,74,0,7,2,60,59,3,13,10,2,0,1.5,0,0,-0.05,-5,-8,1,1,3,-3,2,0,-1,-3,22,-18,-3,-2,-2,-3,0,-0.6000000000000001,0.010000000000000009,-1,0,0.0,-4,3,3,5,-2,0,12,0,1,2,-13,1,0,-6,-5,-1,0,0.0
