date,season,fulltime_result,is_home,team,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg
2017-10-01,2017_2018,0,0,Espanyol,4,0.67,1958,37,17,5,77,3,4,1,16,0.4,2,0.03,2400,67,21,8,88,3,13,1,19,2.8,4,-0.30000000000000004,7,2,3,1,1.7000000000000002,2,0.010000000000000002,-6,1,-6,-3,-1.1
2017-10-01,2017_2018,1,0,Real Betis,4,0.41,1900,68,14,6,91,4,6,4,9,2.1,2,0.21,2002,57,18,6,88,1,7,2,11,1.7,3,-0.41,2,2,2,2,1.1,2,0.0,5,3,-1,1,0.40000000000000013
2017-10-01,2017_2018,0,0,Athletic Bilbao,3,0.44,2019,53,8,7,82,4,1,5,8,2.2,3,0.2,1982,42,13,4,80,3,6,0,13,2.6,2,-0.09999999999999998,-4,0,-5,3,-0.10000000000000009,-2,0.22999999999999998,-3,-7,2,-1,-1.2
2017-10-01,2017_2018,0,0,Eibar,0,0.44,1922,49,9,0,71,2,4,4,14,0.4,0,0.19,2018,60,6,1,80,2,4,1,16,2.5,-1,-0.31999999999999995,-4,-4,-2,0,-0.19999999999999996,0,0.15,-8,-4,-3,0,-0.3999999999999999
2017-10-13,2017_2018,1,0,Levante,0,0.48,1864,63,13,0,82,1,8,3,11,0.9,0,0.17,1957,36,8,3,79,0,3,3,10,2.4,0,-0.27,5,-1,2,1,0.7000000000000001,-4,0.4600000000000001,-9,-2,-6,-3,-2.3000000000000003
2017-10-14,2017_2018,2,0,Real Madrid,2,0.08,2401,64,23,8,90,5,10,3,8,2.0,1,0.59,1870,37,10,3,56,1,5,2,21,1.0,0,-0.020000000000000004,2,0,2,2,0.3999999999999999,-3,0.04999999999999999,-7,-5,-3,-1,-0.9999999999999998
2017-10-15,2017_2018,2,0,Valencia,3,0.31,1990,39,10,6,77,5,2,2,18,1.7,4,0.29,1905,44,10,6,78,4,5,1,17,2.6,0,-0.14999999999999997,-3,2,-2,2,0.8,0,0.21999999999999997,-4,0,-4,0,-0.10000000000000009
2017-10-15,2017_2018,1,0,Deportivo La Coruna,2,0.41,1856,62,15,9,78,3,8,3,16,0.6,0,0.22,1913,40,9,1,71,0,3,3,9,0.6,1,-0.16999999999999998,-6,3,-6,1,0.6999999999999997,0,0.19,0,1,2,-2,-0.7000000000000001
2017-10-15,2017_2018,2,0,Villarreal,3,0.3,2027,59,12,6,80,3,6,4,15,1.4,3,0.33,1814,35,9,5,71,2,6,2,17,2.4,3,-0.12,6,5,1,1,1.4,3,-0.09999999999999998,-4,3,-4,1,0.7
2017-10-15,2017_2018,2,0,Leganes,0,0.39,1861,38,7,3,69,0,2,0,13,2.2,0,0.27,1876,37,10,3,71,0,6,2,12,1.0,-2,0.16999999999999998,-2,0,-1,-2,-1.2000000000000002,-3,0.18,-6,-4,-1,-2,-1.8000000000000003
