is_home,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg,fulltime_result
0.0,2,0.08,2332,52,18,6,85,2,3,2,10,2.6,0,0.59,1891,42,13,6,74,0,7,2,13,1.5,0,-0.05,1,1,3,0,-0.6000000000000001,-1,0.0,3,5,-2,0,0.0,2
0.0,1,0.42,1872,48,7,4,78,1,7,1,10,0.9,0,0.21,1832,40,3,1,83,0,2,3,9,0.8,-1,-0.15999999999999998,4,2,1,-2,-0.19999999999999996,-1,0.35,-10,-4,-5,-1,-0.39999999999999997,2
0.0,0,0.35,1839,50,15,1,74,0,4,1,17,1.2,0,0.27,1850,44,10,2,72,0,4,3,12,1.8,-3,0.07999999999999996,0,-4,1,-1,-1.1,-2,0.16000000000000003,-5,-1,-3,0,-1.4,0
0.0,0,0.45,1887,32,18,7,70,3,6,0,25,0.8,1,0.2,1973,48,11,5,81,3,2,0,17,1.8,0,0.05999999999999994,5,1,2,3,0.30000000000000004,-2,0.23,0,0,1,1,0.8,0
0.0,5,0.36,1902,43,17,7,79,3,5,3,10,1.0,1,0.29,1900,57,11,5,73,1,5,1,14,0.4,4,-0.21999999999999997,8,2,7,3,1.9000000000000001,0,0.13999999999999996,-6,-1,-4,0,0.10000000000000009,2
0.0,0,0.12,2203,34,7,1,80,1,7,0,21,3.4,2,0.59,1890,38,11,6,77,2,5,0,23,1.3,-1,0.18,-4,-2,-3,1,0.19999999999999996,1,0.13999999999999996,4,2,1,1,0.09999999999999998,2
0.0,1,0.3,1995,46,15,3,77,1,9,2,10,1.7,2,0.32,1832,54,12,4,78,1,4,4,15,1.8,0,-0.13,1,-2,3,-1,0.09999999999999998,2,-0.12,-3,3,-4,1,0.6,1
0.0,2,0.56,1846,51,14,4,73,2,5,1,11,0.9,3,0.11,2072,53,15,4,85,1,6,4,17,1.2,0,-0.02999999999999997,2,0,5,1,0.6000000000000001,1,0.17,3,-1,-1,0,0.30000000000000004,0
0.0,3,0.36,1904,37,11,5,66,2,5,4,11,0.2,0,0.27,1842,43,12,3,79,0,7,2,16,0.8,3,-0.13,1,3,-3,1,0.30000000000000004,-2,0.24000000000000005,-2,-1,-2,-2,-0.9,0
0.0,2,0.39,1836,56,11,3,78,0,6,1,8,1.4,1,0.22,1936,43,6,4,56,1,2,3,16,0.4,0,-0.26,-2,-4,-1,-1,-1.1,0,0.16,-4,-1,-4,-1,-0.6000000000000001,2
0.0,1,0.57,1870,60,12,3,78,2,8,1,11,0.9,0,0.08,2063,41,10,3,87,0,3,3,11,2.0,1,-0.09000000000000002,9,0,5,1,0.19999999999999996,-2,0.44000000000000006,0,-3,0,-3,-0.7999999999999999,1
0.0,2,0.3,2064,39,13,7,79,1,10,1,16,0.9,0,0.32,1923,52,7,1,63,0,7,2,13,0.7,2,-0.1,0,1,-4,0,0.7000000000000001,-3,0.13999999999999996,-3,-4,0,0,-0.5,0
0.0,0,0.33,1921,52,8,3,73,1,8,4,9,1.9,0,0.29,1810,65,6,1,86,0,3,2,12,1.8,-1,-0.16,2,-1,3,0,0.10000000000000003,-1,0.12,-15,-6,-1,-2,-2.1,1
0.0,0,0.34,1895,40,3,0,71,0,1,3,21,0.4,0,0.31,1877,38,10,2,71,1,5,0,14,0.8,-3,0.03999999999999998,-8,-5,-1,-2,-0.9000000000000001,-1,0.19999999999999996,-2,-1,1,-1,0.20000000000000007,1
0.0,0,0.34,2056,61,16,6,83,3,8,4,22,0.4,0,0.26,1975,61,10,2,81,0,6,2,9,1.6,0,-0.47000000000000003,6,3,2,3,1.6,0,0.25,-8,0,-8,-3,-1.3,0
0.0,1,0.41,1859,45,9,2,65,1,1,1,20,0.5,2,0.22,1934,51,14,3,68,0,5,1,13,2.1,0,-0.14,-3,-3,-3,0,-1.0999999999999999,2,-0.08999999999999997,7,2,4,0,-0.30000000000000004,0
0.0,0,0.31,2015,38,7,2,72,1,6,3,14,2.8,2,0.32,1865,54,10,4,81,2,4,3,15,1.2,-2,-0.010000000000000009,-7,-1,-4,1,-1.3,2,-0.050000000000000044,1,0,2,2,1.5,2
0.0,1,0.17,2226,63,10,4,82,1,4,0,14,1.0,2,0.49,1921,38,8,3,79,3,2,1,25,0.9,0,-0.12000000000000001,6,2,1,0,0.5000000000000001,2,0.11000000000000001,0,0,-2,2,1.5,0
0.0,4,0.32,1943,50,16,6,67,2,3,3,14,1.6,0,0.29,1806,67,17,6,86,3,1,3,11,0.9,2,-0.1,2,3,1,2,1.4000000000000001,-2,0.19,3,1,3,2,0.30000000000000004,2
0.0,3,0.11,2355,71,16,8,90,2,3,5,10,1.3,0,0.5,1980,68,9,5,86,1,6,2,11,0.8,0,-0.32999999999999996,-2,-3,2,-4,-0.8,-3,0.02999999999999997,-5,0,-5,-1,-1.0,2
0.0,1,0.32,2035,55,8,3,79,2,2,3,16,1.4,1,0.31,1886,42,7,3,62,3,5,5,19,3.9,-1,0.19999999999999998,-6,-5,1,-1,-0.7,1,-0.46,-3,-2,2,2,0.5,1
