Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,1999-10-31,Ath Bilbao,Oviedo,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-31,Betis,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-31,Espanol,Zaragoza,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-10-31,Numancia,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-31,Santander,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-31,Valladolid,Vallecano,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-11-06,Vallecano,Real Madrid,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-07,Ath Madrid,Numancia,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-07,Barcelona,Malaga,1.0,2.0,A,,,,,,,,,,,,,
primera,1999-11-07,Celta,Betis,3.0,1.0,H,,,,,,,,,,,,,
primera,1999-11-07,Mallorca,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-07,Oviedo,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-07,Santander,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-11-07,Sevilla,Ath Bilbao,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-07,Sociedad,Valladolid,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-07,Zaragoza,Alaves,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-20,Ath Bilbao,Ath Madrid,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-11-20,Valencia,Barcelona,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-11-21,Betis,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-21,Espanol,Mallorca,0.0,2.0,A,,,,,,,,,,,,,
primera,1999-11-21,Malaga,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-21,Numancia,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-21,Real Madrid,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-21,Valladolid,Celta,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-11-22,La Coruna,Sevilla,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-11-27,Sevilla,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-28,Ath Madrid,La Coruna,0.0,3.0,A,,,,,,,,,,,,,
primera,1999-11-28,Celta,Real Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-11-28,Espanol,Alaves,1.0,2.0,A,,,,,,,,,,,,,
primera,1999-11-28,Mallorca,Barcelona,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-11-28,Oviedo,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-11-28,Santander,Betis,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-11-28,Sociedad,Numancia,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-11-28,Vallecano,Ath Bilbao,0.0,2.0,A,,,,,,,,,,,,,
primera,1999-11-28,Zaragoza,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-04,Ath Bilbao,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
