Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,28/11/99,Ath Madrid,La Coruna,0.0,3.0,A,,,,,,,,,,,,,
primera,28/11/99,Celta,Real Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,28/11/99,Espanol,Alaves,1.0,2.0,A,,,,,,,,,,,,,
primera,28/11/99,Mallorca,Barcelona,2.0,1.0,H,,,,,,,,,,,,,
primera,28/11/99,Oviedo,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,28/11/99,Santander,Betis,1.0,1.0,D,,,,,,,,,,,,,
primera,28/11/99,Sociedad,Numancia,0.0,1.0,A,,,,,,,,,,,,,
primera,28/11/99,Vallecano,Ath Bilbao,0.0,2.0,A,,,,,,,,,,,,,
primera,28/11/99,Zaragoza,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,04/12/99,Ath Bilbao,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,04/12/99,Barcelona,Oviedo,3.0,0.0,H,,,,,,,,,,,,,
primera,04/12/99,Real Madrid,Zaragoza,0.0,3.0,A,,,,,,,,,,,,,
primera,04/12/99,Valencia,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,05/12/99,Alaves,Mallorca,1.0,0.0,H,,,,,,,,,,,,,
primera,05/12/99,Betis,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,05/12/99,La Coruna,Vallecano,3.0,1.0,H,,,,,,,,,,,,,
primera,05/12/99,Malaga,Ath Madrid,1.0,2.0,A,,,,,,,,,,,,,
primera,05/12/99,Numancia,Celta,1.0,0.0,H,,,,,,,,,,,,,
primera,05/12/99,Valladolid,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,08/12/99,Alaves,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,11/12/99,Sevilla,Barcelona,1.0,1.0,D,,,,,,,,,,,,,
primera,12/12/99,Alaves,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,12/12/99,Ath Madrid,Valencia,1.0,1.0,D,,,,,,,,,,,,,
primera,12/12/99,Celta,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,12/12/99,Espanol,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,12/12/99,Mallorca,Oviedo,0.0,0.0,D,,,,,,,,,,,,,
primera,12/12/99,Santander,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,12/12/99,Sociedad,La Coruna,0.0,1.0,A,,,,,,,,,,,,,
primera,12/12/99,Vallecano,Malaga,2.0,1.0,H,,,,,,,,,,,,,
primera,12/12/99,Zaragoza,Numancia,1.0,1.0,D,,,,,,,,,,,,,
primera,18/12/99,La Coruna,Celta,0.0,0.0,D,,,,,,,,,,,,,
