Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,2021-10-23,14:00 (13:00),Valencia,1.8,2–2,0.6,Mallorca,29139,Estadio de Mestalla,Carlos del Cerro,Match Report,
10,Sat,2021-10-23,16:15 (15:15),Cádiz,1.5,0–2,1.3,Alavés,13790,Estadio Nuevo Mirandilla,Alberola Rojas,Match Report,
10,Sat,2021-10-23,18:30 (17:30),Elche,0.9,2–2,0.8,Espanyol,13449,Estadio Manuel Martínez Valero,Jorge Figueroa,Match Report,
10,Sat,2021-10-23,21:00 (20:00),Athletic Club,2.8,2–1,0.5,Villarreal,38698,San Mamés,Guillermo Cuadra,Match Report,
10,Sun,2021-10-24,14:00 (13:00),Sevilla,1.6,5–3,1.9,Levante,30601,Estadio Ramón Sánchez Pizjuán,Valentín Pizarro,Match Report,
10,Sun,2021-10-24,16:15 (15:15),Barcelona,1.6,1–2,1.5,Real Madrid,86422,Camp Nou,José Sánchez,Match Report,
10,Sun,2021-10-24,18:30 (17:30),Betis,1.4,3–2,1.0,Rayo Vallecano,45362,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
10,Sun,2021-10-24,21:00 (20:00),Atlético Madrid,1.7,2–2,0.8,Real Sociedad,50032,Estadio Wanda Metropolitano,José Luis Munuera,Match Report,
10,Mon,2021-10-25,21:00 (20:00),Getafe,0.5,0–3,1.6,Celta Vigo,7630,Coliseum Alfonso Pérez,Juan Martínez,Match Report,
,,,,,,,,,,,,,
11,Tue,2021-10-26,19:00 (18:00),Alavés,1.7,1–0,0.3,Elche,10206,Estadio de Mendizorroza,Jesús Gil,Match Report,
11,Tue,2021-10-26,21:00 (20:00),Espanyol,1.3,1–1,3.3,Athletic Club,16196,RCDE Stadium,Miguel Ángel Ortiz Arias,Match Report,
11,Tue,2021-10-26,21:30 (20:30),Villarreal,1.7,3–3,1.4,Cádiz,12190,Estadio de la Cerámica,Alejandro Hernández,Match Report,
11,Wed,2021-10-27,19:00 (18:00),Rayo Vallecano,0.8,1–0,2.5,Barcelona,9340,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
11,Wed,2021-10-27,19:00 (18:00),Mallorca,1.5,1–1,0.8,Sevilla,15125,Iberostar Estadi,Santiago Jaime,Match Report,
11,Wed,2021-10-27,20:00 (19:00),Betis,2.0,4–1,1.6,Valencia,43123,Estadio Benito Villamarín,Isidro Díaz de Mera,Match Report,
11,Wed,2021-10-27,21:30 (20:30),Real Madrid,0.7,0–0,0.5,Osasuna,35691,Estadio Santiago Bernabéu,César Soto,Match Report,
11,Thu,2021-10-28,19:00 (18:00),Celta Vigo,1.4,0–2,1.7,Real Sociedad,8726,Estadio de Balaídos,Mario Melero,Match Report,
11,Thu,2021-10-28,20:00 (19:00),Granada,2.0,1–1,0.4,Getafe,13651,Estadio Nuevo Los Cármenes,Adrián Cordero,Match Report,
11,Thu,2021-10-28,21:30 (20:30),Levante,1.8,2–2,0.9,Atlético Madrid,16298,Estadio Ciudad de Valencia,Pablo González,Match Report,
,,,,,,,,,,,,,
12,Sat,2021-10-30,14:00 (13:00),Elche,1.1,1–2,1.1,Real Madrid,23010,Estadio Manuel Martínez Valero,Ricardo de Burgos,Match Report,
12,Sat,2021-10-30,16:15 (15:15),Sevilla,2.0,2–0,0.6,Osasuna,20335,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
12,Sat,2021-10-30,18:30 (17:30),Valencia,1.1,2–0,0.8,Villarreal,31487,Estadio de Mestalla,José Luis Munuera,Match Report,
12,Sat,2021-10-30,21:00 (20:00),Barcelona,1.3,1–1,0.9,Alavés,37278,Camp Nou,Jorge Figueroa,Match Report,
12,Sun,2021-10-31,14:00 (13:00),Cádiz,1.7,1–1,0.9,Mallorca,11790,Estadio Nuevo Mirandilla,Valentín Pizarro,Match Report,
12,Sun,2021-10-31,16:15 (15:15),Atlético Madrid,2.3,3–0,0.5,Betis,56838,Estadio Wanda Metropolitano,Alberola Rojas,Match Report,
12,Sun,2021-10-31,18:30 (17:30),Getafe,0.8,2–1,0.6,Espanyol,4721,Coliseum Alfonso Pérez,Alejandro Muñíz,Match Report,
