Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
35,Sat,2022-05-07,18:30 (17:30),Cádiz,1.8,3–0,0.1,Elche,17615,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
35,Sat,2022-05-07,18:30 (17:30),Celta Vigo,1.9,4–0,0.5,Alavés,10567,Estadio de Balaídos,Guillermo Cuadra,Match Report,
35,Sat,2022-05-07,21:00 (20:00),Betis,0.7,1–2,1.2,Barcelona,46132,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
35,Sun,2022-05-08,14:00 (13:00),Getafe,0.6,0–0,0.7,Rayo Vallecano,10125,Coliseum Alfonso Pérez,Mario Melero,Match Report,
35,Sun,2022-05-08,16:15 (15:15),Villarreal,2.2,1–1,0.8,Sevilla,17461,Estadio de la Cerámica,Jesús Gil,Match Report,
35,Sun,2022-05-08,18:30 (17:30),Espanyol,0.6,1–1,0.6,Osasuna,18903,RCDE Stadium,Santiago Jaime,Match Report,
35,Sun,2022-05-08,21:00 (20:00),Atlético Madrid,2.3,1–0,1.1,Real Madrid,63874,Estadio Wanda Metropolitano,César Soto,Match Report,
,,,,,,,,,,,,,
36,Tue,2022-05-10,19:00 (18:00),Valencia,1.2,0–3,1.6,Betis,28091,Estadio de Mestalla,Carlos del Cerro,Match Report,
36,Tue,2022-05-10,20:00 (19:00),Granada,0.9,1–0,0.3,Athletic Club,16638,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
36,Tue,2022-05-10,21:30 (20:30),Barcelona,1.1,3–1,0.7,Celta Vigo,55899,Camp Nou,Miguel Ángel Ortiz Arias,Match Report,
36,Wed,2022-05-11,19:00 (18:00),Osasuna,0.6,1–1,0.3,Getafe,17850,Estadio El Sadar,Alejandro Muñíz,Match Report,
36,Wed,2022-05-11,19:00 (18:00),Alavés,2.6,2–1,0.9,Espanyol,12729,Estadio de Mendizorroza,Valentín Pizarro,Match Report,
36,Wed,2022-05-11,20:30 (19:30),Sevilla,1.5,0–0,0.6,Mallorca,33242,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
36,Wed,2022-05-11,21:30 (20:30),Elche,0.2,0–2,1.9,Atlético Madrid,21266,Estadio Manuel Martínez Valero,Pablo González,Match Report,
36,Thu,2022-05-12,19:00 (18:00),Real Sociedad,3.0,3–0,0.7,Cádiz,29014,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
36,Thu,2022-05-12,20:00 (19:00),Rayo Vallecano,1.8,1–5,2.4,Villarreal,7945,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Match Report,
36,Thu,2022-05-12,21:30 (20:30),Real Madrid,3.5,6–0,1.0,Levante,38421,Estadio Santiago Bernabéu,Adrián Cordero,Match Report,
,,,,,,,,,,,,,
37,Sat,2022-05-14,18:30 (17:30),Espanyol,0.7,1–1,1.6,Valencia,14990,RCDE Stadium,Alejandro Muñíz,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Levante,1.9,3–1,0.5,Alavés,12438,Estadio Ciudad de Valencia,Guillermo Cuadra,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Villarreal,0.7,1–2,2.1,Real Sociedad,16689,Estadio de la Cerámica,Pablo González,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Getafe,0.3,0–0,0.2,Barcelona,13072,Coliseum Alfonso Pérez,Jesús Gil,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Athletic Club,1.1,2–0,0.9,Osasuna,37869,San Mamés,Jorge Figueroa,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Atlético Madrid,1.2,1–1,0.7,Sevilla,58138,Estadio Wanda Metropolitano,José Sánchez,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Betis,2.3,2–0,1.1,Granada,45016,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Celta Vigo,2.1,1–0,0.5,Elche,10773,Estadio de Balaídos,Mario Melero,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Mallorca,0.8,2–1,1.2,Rayo Vallecano,17930,Iberostar Estadi,José Luis Munuera,Match Report,
37,Sun,2022-05-15,19:30 (18:30),Cádiz,2.7,1–1,1.6,Real Madrid,19643,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
38,Fri,2022-05-20,21:00 (20:00),Real Madrid,1.2,0–0,0.9,Betis,52232,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
38,Fri,2022-05-20,21:00 (20:00),Rayo Vallecano,2.5,2–4,2.5,Levante,8446,Estadio del Rayo Vallecano,Mario Melero,Match Report,
38,Sat,2022-05-21,17:30 (16:30),Valencia,1.5,2–0,0.9,Celta Vigo,16189,Estadio de Mestalla,Adrián Cordero,Match Report,
38,Sun,2022-05-22,17:30 (16:30),Elche,2.7,3–1,1.3,Getafe,17336,Estadio Manuel Martínez Valero,Guillermo Cuadra,Match Report,
38,Sun,2022-05-22,20:00 (19:00),Osasuna,0.8,0–2,1.2,Mallorca,18717,Estadio El Sadar,César Soto,Match Report,
38,Sun,2022-05-22,20:00 (19:00),Granada,1.7,0–0,0.3,Espanyol,17951,Estadio Nuevo Los Cármenes,Alejandro Hernández,Match Report,
38,Sun,2022-05-22,20:00 (19:00),Alavés,0.4,0–1,1.8,Cádiz,11138,Estadio de Mendizorroza,José Sánchez,Match Report,
38,Sun,2022-05-22,22:00 (21:00),Barcelona,0.6,0–2,0.8,Villarreal,54850,Camp Nou,José Luis Munuera,Match Report,
38,Sun,2022-05-22,22:00 (21:00),Sevilla,1.2,1–0,0.7,Athletic Club,31305,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
38,Sun,2022-05-22,22:00 (21:00),Real Sociedad,2.5,1–2,0.7,Atlético Madrid,23586,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
