date,home,away,venue,attendance,home_possiosson,away_possiosson,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_blocked,away_blocked,home_passing_percent,away_passing_percent,home_clear_cut_chances,away_clear_cut_chances,home_corners,away_corners,home_offsides,away_offsides,home_tackles_percent,away_tackles_percent,home_aerial_duels,away_aerial_duels,home_saves,away_saves,home_fouls_committed,away_fouls_committed,home_fouls_won,away_fouls_won,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
Sunday 18th April,Levante,Villarreal,Ciutat de Valencia.,,44.2,55.8,12,14,3,7,9,4,0,3,83.6,87.0,0,3,4,5,3,5,40.7,40.0,33.3,66.7,4,2,9,7,7,9,2,1,0,0
Monday 12th April,Celta Vigo,Sevilla,Balaidos.,,42.2,57.8,12,13,5,6,3,5,4,2,77.3,84.7,2,2,5,2,0,0,54.5,75.0,37.0,63.0,2,2,18,15,14,18,3,1,0,0
Sunday 11th April,Villarreal,Osasuna,Estadio de la Ceramica.,,68.0,32.0,15,12,6,4,6,3,3,5,82.8,65.5,2,1,6,5,2,2,53.8,61.5,43.2,56.8,2,6,6,12,11,6,0,0,0,0
Sunday 11th April,Valencia,Real Sociedad,Mestalla.,,40.6,59.4,9,16,2,5,5,6,2,5,74.6,80.3,1,1,4,5,5,2,54.5,57.1,62.2,37.8,3,0,11,17,14,11,5,4,1,0
Sunday 11th April,Real Valladolid,Granada,Jose Zorrilla.,,54.5,45.5,7,12,3,6,3,5,1,1,78.9,73.5,0,3,3,4,0,3,47.1,53.3,48.9,51.1,4,2,14,15,15,14,4,2,0,0
Sunday 11th April,Real Betis,Atletico Madrid,Benito Villamarin.,,54.3,45.7,8,10,4,4,1,4,3,2,86.0,82.8,1,1,5,5,0,3,60.0,45.0,58.3,41.7,3,4,12,13,11,12,0,0,0,0
Saturday 10th April,Getafe,Cadiz,Coliseum Alfonso Perez.,,57.6,42.4,19,8,4,3,9,4,6,1,69.8,57.6,4,1,10,4,2,2,64.7,64.7,41.7,58.3,3,3,10,13,12,9,3,2,0,0
Saturday 10th April,Athletic Bilbao,Alaves,San Mames.,,44.2,55.8,11,9,4,0,5,5,2,4,75.6,79.8,3,0,6,6,3,4,54.5,100.0,37.5,62.5,0,4,13,15,14,12,2,2,0,0
Saturday 10th April,Eibar,Levante,Estadio Municipal de Ipura.,,53.0,47.0,10,6,4,1,4,3,2,2,73.5,71.7,0,0,6,3,1,5,73.3,50.0,58.7,41.3,0,4,9,7,6,9,3,2,0,0
Saturday 10th April,Real Madrid,Barcelona,Alfredo Di Stefano.,,31.2,68.8,14,18,3,4,6,7,5,7,77.8,90.0,1,1,5,6,0,1,60.9,44.4,43.8,56.3,3,1,16,10,10,15,1,4,1,0
